persona,group_key,procedure_code,procedure_title,workflow_family,support_level,raw_data_available,in_full_data,in_workflow_dataset,official_membership,expanded_membership,membership_source,field,source_url,notes
citizen,dien_luc_nha_o_dat_dai,1.115299,"Cấp lại Giấy chứng nhận do bị mất thực hiện với đăng ký biến động đối với trường hợp đổi tên hoặc thay đổi thông tin về người sử dụng đất, chủ sở hữu tài sản gắn liền với đất.",,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019ef90d-1761-7300-9de4-67eeb6b940b9,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115301,"Cấp lại Giấy chứng nhận do bị mất với cấp Giấy chứng nhận quyền sử dụng đất, quyền sở hữu tài sản gắn liền với đất đối với thửa đất có diện tích tăng thêm.",,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019ef90f-4923-73e4-8f16-7565a20fe4ca,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115300,"Cấp lại Giấy chứng nhận do bị mất với đăng ký biến động đối với trường hợp đổi tên hoặc thay đổi thông tin về người sử dụng đất, chủ sở hữu tài sản gắn liền với đất và xác nhận tiếp tục sử dụng đất nông nghiệp.",,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019ef90d-f28b-7739-8303-f43bf11bdc7d,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115712,Cấp lại Giấy chứng nhận đã cấp do bị mất,,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019f650d-13b1-7208-a07e-27c66fe33c56,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115297,Cấp lại Giấy chứng nhận đã cấp do bị mất với xác nhận tiếp tục sử dụng đất nông nghiệp của cá nhân.,,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019ef90b-60eb-7682-8dbe-fbcabe704ce3,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115298,"Cấp lại Giấy chứng nhận đã cấp do bị mất với xóa ghi nợ tiền sử dụng đất, lệ phí trước bạ.",,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019ef90c-3b18-718e-9d4d-1f4115c0ec9b,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.115271,Cấp lại Giấy chứng nhận đã cấp do bị mất.,,raw_only,true,true,false,false,true,expanded,Đất đai,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019ef8e4-5e2c-73eb-8c19-672e39206c39,field:Đất đai
citizen,dien_luc_nha_o_dat_dai,1.002613,"Cấp lại Giấy chứng nhận đủ điều kiện hoạt động kiểm định kỹ thuật an toàn lao động cho các tổ chức thực hiện kiểm định đối với các máy, thiết bị, vật tư có yêu cầu nghiêm ngặt về an toàn lao động sử dụng trong thi công xây dựng",,raw_only,true,true,false,false,true,expanded,Kiểm định kỹ thuật an toàn lao động,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-22d1-71cc-bb0b-af18b91e9ce5,title:xay dung
citizen,dien_luc_nha_o_dat_dai,1.013406,"Cấp lại Giấy phép hoạt động điện lực thuộc thẩm quyền cấp của Bộ Công Thương (trừ trường hợp giấy phép bị mất, bị hỏng)",,raw_only,true,true,false,false,true,expanded,Điện,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bf8-041a-724d-9208-51350ae71ce8,title:dien luc
citizen,dien_luc_nha_o_dat_dai,1.013217,Cấp lại chứng chỉ hành nghề hoạt động xây dựng,,raw_only,true,true,false,false,true,expanded,Hoạt động xây dựng,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-88fb-746f-9e8f-02beeafeaa1f,field:Hoạt động xây dựng
citizen,dien_luc_nha_o_dat_dai,1.002551,"Cấp lại chứng chỉ kiểm định viên cho các cá nhân thực hiện kiểm định đối với các máy, thiết bị, vật tư có yêu cầu nghiêm ngặt về an toàn lao động sử dụng trong thi công xây dựng",,raw_only,true,true,false,false,true,expanded,Kiểm định kỹ thuật an toàn lao động,https://dichvucong.gov.vn/thu-tuc-hanh-chinh/019d2bfe-1b3c-7371-831a-95703adcc8f1,title:xay dung
